source	target	patristic_distance	sequence_distance	n_sites	lca_level
GWOUF455-20	LOCB210-06	0.183411	0.151277	656	76
ANICW1343-11	LNAUZ2996-22	0.403382	0.140475	657	6
BGSNL2115-24	LEAST844-17	0.208963	0.135843	653	11
LOCRD120-09	LOCRE139-10	0.152057	0.0837371	599	68
CRQZC5978-23	LOCRE121-10	0.115143	0.139909	657	67
GBMIN87702-17	HYPOS289-23	0.950236	0.231766	627	0
LASDG648-22	SAMPA1887-20	0.0934653	0.0942422	656	56
GWOSS724-11	LOCRE378-10	0.219534	0.174473	656	69
LNAUW681-17	LNAUW683-17	0.276029	0.142159	657	43
GWOUE888-20	HABA122-22	0.175738	0.12864	656	68
LPOKD306-09	MNAG730-08	0.306318	0.157454	656	9
BLPDU981-11	LOCRD115-09	0.107008	0.111727	657	70
BHULP015-22	GWOSC588-10	0.118107	0.0154589	656	33
ANIAC1687-11	ANIAC923-11	0.230525	0.138486	538	26
CASBI6219-26	GWNS241-07	0.154611	0.0556313	605	52
GBGL26615-19	GBGL26625-19	0.0430293	0.10459	656	7
GWORE068-08	GWORU736-10	0.245544	0.124785	657	72
ANICQ171-11	NGSFT2424-16	0.452262	0.16546	634	1
CNPYB274-10	INSSD1053-20	0.0646363	0.0377791	653	50
BLPDI382-09	BLPDV10487-19	0.147634	0.151357	657	27
GBMIN33810-13	GWOTE836-12	0.718486	0.0271202	565	46
ARCTC659-10	LEMMZ402-11	0.0998802	0.0859185	657	44
ANICW1140-11	ANICW1206-11	0.144055	0.0991467	657	10
GBAAN022-25	GBAAN091-25	0.188045	0.127027	548	11
ELACA2127-12	LECOL235-12	0.0746909	0.0837389	657	37
LNAUV1454-17	PMANL4831-15	0.584175	0.167132	562	2
CRMLB463-24	CRPEA12667-21	0.148594	0.107146	653	32
GWORE068-08	GWOUF455-20	0.17876	0.124815	656	72
CGLCA080-10	GWOUF455-20	0.191714	0.1415	656	76
GWORC2189-08	GWOSQ181-11	0.173247	0.113535	657	50
ANICW1146-11	ANICW1244-11	0.122218	0.0538078	657	11
GWOR2233-08	GWORN855-09	0.116586	0.129861	657	50
SASNC3237-15	SAVSE1294-16	0.0328564	0.0153901	657	35
GWOSQ581-11	GWOSU411-11	0.109457	0.0906714	657	53
GWORU722-10	GWOSB935-10	0.0968899	0.0726495	657	64
GWOTM866-14	GWOTS165-17	0.268473	0.122809	635	61
GBLAB265-13	GWOUP685-25	0.0678826	0.0376577	603	54
GBGL26585-19	GBGL26614-19	0.0145609	0.0408235	656	9
CGUKB644-09	GWORL515-09	0.073029	0.0185797	657	47
BLPAA16780-20	LNAUW1856-17	0.110196	0.105208	632	20
GBGL26539-19	GBGL26605-19	0.0506511	0.0492542	655	7
PMANL4831-15	PMANL4838-15	0.622078	0.0953196	563	2
GBAAN161-25	SARBF2869-17	0.259346	0.163014	656	8
ANICW1111-11	BCLEP4075-23	0.367992	0.130367	652	7
FBLMW936-10	MNAJ163-09	0.542825	0.131605	407	16
HYPOS014-23	LEPPC932-15	0.938664	0.131072	657	0
BSNTN023-23	BSNTN335-23	0.0955828	0.0489998	657	16
BLPAA1228-17	LOCRF715-11	0.0466918	0.0329342	657	51
CGLCA080-10	GWORM989-09	0.175837	0.121564	657	74
GBGL13514-14	GWNJ025-07	0.140599	0.126933	654	42
GBGL23988-19	GBGL26931-19	0.0245539	0.0296705	623	55
ABOLA861-15	GWORZ075-10	0.132008	0.0234122	654	33
BGSNL1633-24	PHLSA281-11	0.611426	0.108478	656	30
GWOR5471-13	GWORA2145-09	0.114561	0.0998093	657	67
LBEOA1606-11	LBEOW1210-11	0.0746371	0.0460192	656	34
GWORE1674-09	GWORK611-09	0.323892	0.102063	657	66
ARISE2223-26	GEOMB190-20	0.042671	0.0559968	657	34
BLPAA1027-17	GWORU736-10	0.250403	0.119499	657	70
BLPDK996-09	LEASV403-19	0.0955691	0.120326	657	25
LOCRB286-08	NGEOC811-11	0.0703305	0.0393564	657	44
ANICF367-10	HYPOS293-23	0.814561	0.142397	656	0
GBLN1600-08	GBLN1611-08	0.0943407	0.0690789	623	53
ACRJP266-09	KLEPI383-11	0.252681	0.110286	656	40
GBGL26533-19	GBGL26597-19	0.0279899	0.052515	656	5
RDOPO403-10	SIBLE084-17	0.137032	0.116786	657	34
ABLCV371-09	GWORU636-10	0.158767	0.165604	635	67
CGLCA080-10	LPANT360-21	0.181108	0.128523	652	75
BLPAA17521-20	LEPIG180-11	0.0872977	0.0669834	657	24
FBLMW945-10	LEASS952-17	0.226987	0.170374	657	11
ARISE2267-26	CRATC46818-24	0.11296	0.140975	657	65
BLPDM2288-10	GWNC535-07	0.180378	0.107652	657	71
GBGL26598-19	GBGL26610-19	0.0387636	0.101063	656	8
CNCLB1474-14	GWORD2024-08	0.085533	0.108365	657	55
SARBF2401-16	SARBF3621-18	0.0828053	0.0408607	657	28
GBAAX62552-24	LEPAR471-11	0.1494	0.109979	655	13
CASBI3565-26	CNCLA2444-13	0.0766284	0.0251355	407	55
ABLCV454-09	GWOTD856-12	0.205485	0.0912904	657	61
BCMI068-11	GWORP888-09	0.0327183	0.0280013	657	55
ARCTA023-07	ARCTA651-07	0.21951	0.0729603	576	43
BLPAA1219-17	BLPAA15306-19	0.154828	0.147912	656	23
GWOSS714-11	GWOTE569-12	0.143139	0.112514	657	61
CNCLB4510-19	OPPQO808-17	0.0170313	0.0115137	615	56
ARCTD054-11	LPYPB181-08	0.274427	0.110493	657	46
CGUKC701-09	MNAQ1415-18	0.188193	0.0977211	656	12
SAFMB921-10	SARBF907-14	0.0836927	0.0362433	656	36
GBCAB41298-24	LEBO112-14	0.0992133	0.046785	619	33
CRQZA18717-22	LPANT360-21	0.130675	0.125182	651	75
