leaf_id	record_id	bin_uri	kingdom	phylum	class	order	family	subfamily	tribe	genus
BOLD:MOCK001	REC-001	BOLD:MOCK001	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalinae	Nymphalini	Vanessa
BOLD:MOCK002	REC-002	BOLD:MOCK002	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalinae	Nymphalini	Vanessa
BOLD:MOCK003	REC-003	BOLD:MOCK003	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalinae	Nymphalini	Vanessa
BOLD:MOCK004	REC-004	BOLD:MOCK004	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalinae	Nymphalini	Vanessa
BOLD:MOCK005	REC-005	BOLD:MOCK005	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae			Carabus
BOLD:MOCK006	REC-006	BOLD:MOCK006	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae			Carabus
BOLD:MOCK007	REC-007	BOLD:MOCK007	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae			Carabus
BOLD:MOCK008	REC-008	BOLD:MOCK008	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae			Carabus
BOLD:MOCK009	REC-009	BOLD:MOCK009	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae			MockGenus01
BOLD:MOCK010	REC-010	BOLD:MOCK010	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae			MockGenus01
BOLD:MOCK011	REC-011	BOLD:MOCK011	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae			MockGenus01
BOLD:MOCK012	REC-012	BOLD:MOCK012	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae			MockGenus01
BOLD:MOCK013	REC-013	BOLD:MOCK013	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae			MockGenus02
BOLD:MOCK014	REC-014	BOLD:MOCK014	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae			MockGenus02
